Index,Released,released_year,Title,Theatrical,Genre,Source,Production,Creative,Production,Opening Weekend,Maximum,Theatrical,Opening Weekend,Domestic,Infl. Adj. Dom.,International,Worldwide
11,30-May-08,2008,Sex and the City,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,"$57,500,000 ","3,285","3,325","18,214","$56,848,056 ","$152,647,258 ","$190,702,774 ","$262,600,000 ","$415,247,258 "
12,1-Aug-08,2008,The Mummy: Tomb of the Dragon Emperor,Universal,Adventure,Remake,Live Action,Fantasy,"$175,000,000 ","3,760","3,778","17,695","$40,457,770 ","$102,491,776 ","$128,043,350 ","$303,268,449 ","$405,760,225 "
13,21-Nov-08,2008,Twilight,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$37,000,000 ","3,419","3,649","26,720","$69,637,740 ","$192,769,854 ","$239,983,362 ","$209,510,305 ","$402,280,159 "
14,12-Nov-08,2008,Slumdog Millionaire,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$14,000,000 ",10,"2,943","27,189","$360,018 ","$141,330,703 ","$170,560,083 ","$243,199,737 ","$384,530,440 "
15,27-Jun-08,2008,Wanted,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,"$75,000,000 ","3,175","3,185","16,374","$50,927,085 ","$134,508,551 ","$168,042,016 ","$207,907,909 ","$342,416,460 "
16,25-Dec-08,2008,The Curious Case of Benjamin Button,Paramount Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$160,000,000 ","2,988","2,988","20,848","$26,853,816 ","$127,509,326 ","$156,727,975 ","$202,122,632 ","$329,631,958 "
17,21-Nov-08,2008,Bolt,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000 ","3,651","3,654","23,124","$26,223,128 ","$114,053,579 ","$142,267,070 ","$213,961,450 ","$328,015,029 "
18,14-Mar-08,2008,Horton Hears a Who,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,"$85,000,000 ","3,954","3,961","28,853","$45,012,998 ","$154,529,439 ","$193,054,188 ","$144,948,447 ","$299,477,886 "
19,12-Dec-08,2008,Gran Torino,Warner Bros.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ",6,"3,045","26,946","$271,720 ","$148,095,302 ","$177,645,450 ","$126,447,783 ","$274,543,085 "
20,24-Oct-08,2008,High School Musical 3: Senior Year,Walt Disney,Musical,Based on TV,Live Action,Contemporary Fiction,"$11,000,000 ","3,623","3,626","19,839","$42,030,184 ","$90,559,416 ","$113,118,338 ","$183,833,464 ","$274,392,880 "
21,7-Mar-08,2008,"10,000 B.C.",Warner Bros.,Adventure,Original Screenplay,Live Action,Historical Fiction,"$105,000,000 ","3,410","3,454","19,930","$35,867,488 ","$94,784,201 ","$118,414,244 ","$174,281,477 ","$269,065,678 "
22,13-Jun-08,2008,The Incredible Hulk,Universal,Adventure,Based on Comic/Graphic Novel,Live Action,Super Hero,"$137,500,000 ","3,505","3,508","17,582","$55,414,050 ","$134,806,913 ","$168,414,764 ","$130,766,946 ","$265,573,859 "
23,25-Dec-08,2008,Marley & Me,20th Century Fox,Comedy,Based on Fiction Book/Short Story,Live Action,Dramatization,"$60,000,000 ","3,480","3,505","19,051","$36,357,586 ","$143,153,751 ","$176,897,469 ","$104,658,260 ","$247,812,011 "
24,25-Jul-08,2008,Bienvenue chez les Ch'tis,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ",0,46,226,$0 ,"$1,477,650 ","$1,846,026 ","$245,996,847 ","$247,474,497 "
25,11-Jul-08,2008,Journey to the Center of the Earth,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$45,000,000 ","2,811","2,830","20,338","$21,018,141 ","$101,704,370 ","$127,059,637 ","$141,476,567 ","$243,180,937 "
26,12-Dec-08,2008,The Day the Earth Stood Still,20th Century Fox,Adventure,Remake,Live Action,Science Fiction,"$80,000,000 ","3,560","3,560","14,567","$30,480,153 ","$79,366,978 ","$98,889,989 ","$153,700,000 ","$233,066,978 "
27,20-Jun-08,2008,Get Smart,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,"$80,000,000 ","3,911","3,915","21,184","$38,683,480 ","$130,319,208 ","$162,808,263 ","$96,420,208 ","$226,739,416 "
28,19-Dec-08,2008,Yes Man,Warner Bros.,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$50,000,000 ","3,434","3,434","17,323","$18,262,471 ","$97,690,976 ","$121,076,432 ","$128,300,000 ","$225,990,976 "
29,14-Feb-08,2008,Jumper,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$82,500,000 ","3,428","3,430","17,001","$27,354,808 ","$80,172,128 ","$100,159,334 ","$142,468,684 ","$222,640,812 "
30,25-Dec-08,2008,Bedtime Stories,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,"$80,000,000 ","3,681","3,684","16,776","$27,450,296 ","$110,101,975 ","$136,241,509 ","$111,366,960 ","$221,468,935 "
31,9-May-08,2008,What Happens in Vegas...,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,215","3,255","19,100","$20,172,474 ","$80,277,646 ","$100,291,157 ","$138,258,062 ","$218,535,708 "
32,26-Nov-08,2008,Australia,20th Century Fox,Drama,Original Screenplay,Live Action,Historical Fiction,"$130,000,000 ","2,642","2,721","13,633","$14,800,723 ","$49,554,002 ","$61,755,158 ","$165,526,808 ","$215,080,810 "
33,25-Dec-08,2008,Valkyrie,United Artists,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$90,000,000 ","2,711","2,838","13,292","$21,027,007 ","$83,107,829 ","$102,634,300 ","$120,824,345 ","$203,932,174 "
34,6-Jun-08,2008,You Don't Mess With the Zohan,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000 ","3,462","3,466","16,661","$38,531,374 ","$100,018,837 ","$124,953,894 ","$102,892,154 ","$202,910,991 "
35,13-Aug-08,2008,Tropic Thunder,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$90,000,000 ","3,319","3,473","21,731","$25,812,796 ","$110,515,313 ","$138,067,182 ","$80,629,943 ","$191,145,256 "
36,26-Sep-08,2008,Eagle Eye,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,510","3,614","23,413","$29,150,721 ","$101,440,743 ","$126,728,205 ","$79,144,516 ","$180,585,259 "
37,18-Jan-08,2008,Cloverfield,Paramount Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$25,000,000 ","3,411","3,411","15,124","$40,058,229 ","$80,048,433 ","$100,004,799 ","$91,253,793 ","$171,302,226 "
38,26-Nov-08,2008,Four Christmases,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,310","3,540","20,236","$31,069,826 ","$120,146,040 ","$149,994,609 ","$48,165,518 ","$168,311,558 "
39,12-Sep-08,2008,Burn After Reading,Focus Features,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$37,000,000 ","2,651","2,657","14,104","$19,128,001 ","$60,355,347 ","$75,402,152 ","$107,812,451 ","$168,167,798 "
40,19-Dec-08,2008,Seven Pounds,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$54,000,000 ","2,758","2,758","12,170","$14,851,136 ","$69,951,824 ","$86,868,449 ","$96,665,504 ","$166,617,328 "
41,14-Feb-08,2008,The Spiderwick Chronicles,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$92,500,000 ","3,847","3,847","20,646","$19,004,058 ","$71,195,053 ","$88,944,242 ","$91,644,614 ","$162,839,667 "
42,13-Jun-08,2008,The Happening,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$60,000,000 ","2,986","2,986","11,662","$30,517,109 ","$64,506,874 ","$80,588,669 ","$98,271,510 ","$162,778,384 "
43,11-Jul-08,2008,Hellboy II: The Golden Army,Universal,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$82,500,000 ","3,204","3,212","13,754","$34,539,115 ","$75,986,503 ","$94,930,210 ","$84,401,560 ","$160,388,063 "
44,18-Jan-08,2008,27 Dresses,20th Century Fox,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","3,057","3,074","17,858","$23,007,725 ","$76,808,654 ","$95,957,328 ","$83,439,151 ","$160,247,805 "
45,28-Mar-08,2008,21,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$35,000,000 ","2,648","2,952","17,574","$24,105,943 ","$81,159,365 ","$101,392,682 ","$78,687,064 ","$159,846,429 "
46,3-Oct-08,2008,Beverly Hills Chihuahua,Walt Disney,Adventure,Original Screenplay,Live Action,Fantasy,"$20,000,000 ","3,215","3,239","22,958","$29,300,465 ","$94,514,402 ","$118,037,988 ","$59,703,766 ","$154,218,168 "
47,22-Feb-08,2008,Vantage Point,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","3,149","3,163","18,125","$22,874,936 ","$72,266,306 ","$90,282,557 ","$78,620,023 ","$150,886,329 "
48,14-Feb-08,2008,Step Up 2 the Streets,Walt Disney,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$17,500,000 ","2,470","2,528","13,090","$18,908,826 ","$58,017,783 ","$72,481,825 ","$90,569,127 ","$148,586,910 "
49,18-Apr-08,2008,The Forbidden Kingdom,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Fantasy,"$55,000,000 ","3,151","3,151","12,997","$21,401,121 ","$52,075,270 ","$65,057,822 ","$77,000,000 ","$129,075,270 "
50,25-Jul-08,2008,Step Brothers,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000 ","3,094","3,182","16,251","$30,940,732 ","$100,468,793 ","$125,516,026 ","$28,000,000 ","$128,468,793 "
51,10-Oct-08,2008,Body of Lies,Warner Bros.,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$67,500,000 ","2,710","2,714","11,322","$12,884,416 ","$39,394,666 ","$49,211,671 ","$79,161,864 ","$118,556,530 "
52,24-Oct-08,2008,Saw V,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,800,000 ","3,060","3,084","11,961","$30,053,954 ","$56,746,769 ","$70,893,947 ","$61,463,009 ","$118,209,778 "
53,24-Oct-08,2008,Changeling,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ",15,"1,896","9,907","$489,015 ","$35,739,802 ","$44,648,130 ","$78,065,778 ","$113,805,580 "
54,10-Dec-08,2008,The Reader,Weinstein Co.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$32,500,000 ",8,"1,203","10,545","$168,051 ","$34,194,407 ","$41,085,919 ","$78,770,468 ","$112,964,875 "
55,25-Jan-08,2008,Rambo,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$47,500,000 ","2,751","2,764","11,550","$18,203,876 ","$42,754,105 ","$53,412,861 ","$69,460,426 ","$112,214,531 "
56,8-Feb-08,2008,Fool's Gold,Warner Bros.,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$72,500,000 ","3,125","3,125","19,812","$21,589,295 ","$70,231,041 ","$87,739,894 ","$39,131,925 ","$109,362,966 "
57,26-Nov-08,2008,Transporter 3,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"2,626","2,626","8,935","$12,063,452 ","$31,715,062 ","$39,621,746 ","$75,520,530 ","$107,235,592 "
58,2-May-08,2008,Made of Honor,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","2,729","2,816","14,188","$14,756,850 ","$46,012,734 ","$57,483,868 ","$60,536,004 ","$106,548,738 "
59,18-Apr-08,2008,Forgetting Sarah Marshall,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,798","2,872","15,609","$17,725,330 ","$63,172,463 ","$78,921,585 ","$42,000,579 ","$105,173,042 "
60,15-Aug-08,2008,Vicky Cristina Barcelona,MGM,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ",692,726,"5,857","$3,755,575 ","$23,216,709 ","$28,984,133 ","$81,288,108 ","$104,504,817 "
61,6-Aug-08,2008,Pineapple Express,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$26,000,000 ","3,072","3,072","14,429","$23,245,025 ","$87,341,380 ","$109,115,897 ","$15,062,639 ","$102,404,019 "
62,4-Apr-08,2008,Nim's Island,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$37,000,000 ","3,513","3,518","20,705","$13,210,579 ","$48,006,762 ","$59,975,026 ","$53,850,663 ","$101,857,425 "
63,7-Nov-08,2008,Role Models,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000 ","2,792","2,798","15,622","$19,167,085 ","$67,300,955 ","$84,047,483 ","$27,199,871 ","$94,500,826 "
64,9-May-08,2008,Speed Racer,Warner Bros.,Action,Based on TV,Live Action,Science Fiction,"$120,000,000 ","3,606","3,606","14,710","$18,561,337 ","$43,945,766 ","$54,901,603 ","$49,448,696 ","$93,394,462 "
65,19-Dec-08,2008,The Tale of Despereaux,Universal,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$60,000,000 ","3,104","3,107","14,161","$10,103,675 ","$50,877,145 ","$63,176,392 ","$39,605,172 ","$90,482,317 "
66,17-Oct-08,2008,Max Payne,20th Century Fox,Action,Based on Game,Live Action,Contemporary Fiction,"$35,000,000 ","3,376","3,381","12,471","$17,639,849 ","$40,689,393 ","$50,832,757 ","$45,074,495 ","$85,763,888 "
67,25-Jan-08,2008,Meet the Spartans,20th Century Fox,Comedy,Original Screenplay,Live Action,Historical Fiction,"$30,000,000 ","2,605","2,643","10,672","$18,505,530 ","$38,233,676 ","$47,765,474 ","$46,413,155 ","$84,646,831 "
68,30-May-08,2008,The Strangers,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$9,000,000 ","2,467","2,477","10,298","$20,997,985 ","$52,597,610 ","$65,710,381 ","$30,454,066 ","$83,051,676 "
69,26-Dec-08,2008,Revolutionary Road,Paramount Vantage,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$45,000,000 ",3,"1,077","5,342","$189,911 ","$22,951,340 ","$27,523,126 ","$56,653,480 ","$79,604,820 "
70,26-Sep-08,2008,Nights in Rodanthe,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,"2,704","2,704","13,577","$13,418,454 ","$41,850,659 ","$52,281,609 ","$37,500,000 ","$79,350,659 "
71,12-Sep-08,2008,Righteous Kill,Overture Films,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$60,000,000 ","3,152","3,152","13,323","$16,288,361 ","$40,081,410 ","$50,073,850 ","$38,400,000 ","$78,481,410 "
72,29-Feb-08,2008,The Other Boleyn Girl,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$40,000,000 ","1,166","1,212","7,161","$8,203,061 ","$26,814,957 ","$33,500,017 ","$51,455,013 ","$78,269,970 "
73,15-Aug-08,2008,Mirrors,20th Century Fox,Horror,Remake,Live Action,Contemporary Fiction,"$35,000,000 ","2,664","2,664","11,193","$11,161,074 ","$30,691,439 ","$38,342,929 ","$46,529,157 ","$77,220,596 "
74,28-Mar-08,2008,Superhero Movie,MGM,Comedy,Original Screenplay,Live Action,Super Hero,"$35,000,000 ","2,960","2,965","12,642","$9,510,297 ","$26,638,520 ","$32,324,525 ","$46,387,782 ","$73,026,302 "
75,22-Aug-08,2008,Death Race,Universal,Action,Remake,Live Action,Science Fiction,"$65,000,000 ","2,532","2,586","11,977","$12,621,090 ","$36,316,032 ","$45,369,749 ","$36,200,787 ","$72,516,819 "
76,22-Aug-08,2008,The House Bunny,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ","2,714","2,763","16,433","$14,533,702 ","$48,237,389 ","$60,263,142 ","$23,153,212 ","$71,390,601 "
77,1-Feb-08,2008,Hannah Montana/Miley Cyrus: Best of B…,Walt Disney,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$6,500,000 ",683,687,"3,614","$31,117,834 ","$65,281,781 ","$81,556,765 ","$5,430,318 ","$70,712,099 "
78,29-Aug-08,2008,Babylon A.D.,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$45,000,000 ","3,390","3,425","10,719","$9,484,627 ","$22,532,572 ","$28,150,022 ","$47,683,925 ","$70,216,497 "
79,15-Aug-08,2008,Star Wars: The Clone Wars,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Science Fiction,"$8,500,000 ","3,452","3,452","14,057","$14,611,273 ","$35,161,554 ","$43,927,453 ","$33,533,889 ","$68,695,443 "
80,25-Jul-08,2008,The X-Files: I Want to Believe,20th Century Fox,Action,Based on TV,Live Action,Science Fiction,"$35,000,000 ","3,185","3,185","8,821","$10,021,753 ","$20,982,478 ","$26,213,488 ","$47,188,314 ","$68,170,792 "
81,18-Jul-08,2008,Space Chimps,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$37,000,000 ","2,511","2,538","12,148","$7,181,374 ","$30,105,968 ","$37,611,497 ","$36,923,988 ","$67,029,956 "
82,7-Mar-08,2008,The Bank Job,Lionsgate,Thriller/Suspense,Based on Real Life Events,Live Action,Dramatization,"$20,000,000 ","1,603","1,613","9,606","$5,935,256 ","$30,060,660 ","$37,554,887 ","$36,082,345 ","$66,143,005 "
83,11-Apr-08,2008,Street Kings,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","2,467","2,469","8,396","$12,469,631 ","$26,418,667 ","$33,004,936 ","$39,039,144 ","$65,457,811 "
84,25-Apr-08,2008,Baby Mama,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","2,543","2,627","16,690","$17,407,110 ","$60,494,212 ","$75,575,641 ","$3,676,235 ","$64,170,447 "
85,1-Feb-08,2008,The Eye,Lionsgate,Thriller/Suspense,Remake,Live Action,Fantasy,"$12,000,000 ","2,436","2,470","9,922","$12,425,776 ","$31,418,697 ","$39,251,491 ","$26,159,068 ","$57,577,765 "
86,26-Nov-08,2008,Milk,Focus Features,Drama,Based on Real Life Events,Live Action,Dramatization,"$20,000,000 ",36,882,"6,199","$1,453,844 ","$31,841,299 ","$38,996,770 ","$25,452,072 ","$57,293,371 "
87,11-Apr-08,2008,Prom Night,Sony Pictures,Horror,Remake,Live Action,Contemporary Fiction,"$18,000,000 ","2,700","2,821","12,974","$20,804,941 ","$43,869,350 ","$54,806,135 ","$13,324,305 ","$57,193,655 "
88,14-Feb-08,2008,"Definitely, Maybe",Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000 ","2,204","2,220","9,625","$9,764,270 ","$32,241,649 ","$40,279,606 ","$23,376,217 ","$55,617,866 "
89,12-Dec-08,2008,Doubt,Miramax,Drama,Based on Play,Live Action,Historical Fiction,"$20,000,000 ",15,"1,287","8,152","$507,226 ","$33,446,470 ","$40,999,044 ","$19,744,631 ","$53,191,101 "
90,25-Jan-08,2008,Untraceable,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","2,368","2,368","9,013","$11,354,069 ","$28,687,835 ","$35,839,814 ","$23,962,116 ","$52,649,951 "
91,7-Mar-08,2008,College Road Trip,Walt Disney,Adventure,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"2,706","2,706","16,013","$13,601,419 ","$45,610,425 ","$56,981,270 ","$5,263,498 ","$50,873,923 "
92,11-Jul-08,2008,Meet Dave,20th Century Fox,Adventure,Original Screenplay,Live Action,Science Fiction,"$60,000,000 ","3,011","3,011","7,354","$5,251,918 ","$11,803,254 ","$14,745,846 ","$38,845,552 ","$50,648,806 "
93,12-Sep-08,2008,The Women,Picturehouse,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ","2,962","2,995","10,547","$10,155,121 ","$26,902,075 ","$33,608,859 ","$23,201,733 ","$50,103,808 "
94,21-Mar-08,2008,Drillbit Taylor,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","3,056","3,061","14,576","$10,309,986 ","$32,862,104 ","$41,054,748 ","$16,824,159 ","$49,686,263 "
95,21-Mar-08,2008,Shutter,20th Century Fox,Horror,Remake,Live Action,Contemporary Fiction,"$8,000,000 ","2,753","2,756","10,090","$10,447,559 ","$25,928,550 ","$32,392,634 ","$21,853,876 ","$47,782,426 "
96,7-Mar-08,2008,???? (CJ7),Sony Pictures Classics,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,"$20,000,000 ",19,30,146,"$49,770 ","$206,678 ","$258,201 ","$47,094,093 ","$47,300,771 "
97,17-Dec-08,2008,The Wrestler,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000 ",4,776,"6,737","$202,714 ","$26,238,243 ","$31,451,520 ","$20,396,032 ","$46,634,275 "
98,5-Sep-08,2008,Bangkok Dangerous,Lionsgate,Action,Remake,Live Action,Contemporary Fiction,"$45,000,000 ","2,650","2,654","7,312","$7,783,266 ","$15,298,133 ","$19,112,011 ","$31,300,000 ","$46,598,133 "
99,19-Sep-08,2008,The Duchess,Paramount Vantage,Drama,Based on Fiction Book/Short Story,Live Action,Dramatization,"$27,000,000 ",7,"1,207","4,963","$190,426 ","$13,848,978 ","$17,301,578 ","$31,311,132 ","$45,160,110 "
100,19-Sep-08,2008,Lakeview Terrace,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","2,464","2,574","11,566","$15,004,672 ","$39,263,506 ","$49,052,032 ","$5,557,793 ","$44,821,299 "
1,18-Dec-09,2009,Avatar,20th Century Fox,Action,Original Screenplay,Animation/Live Action,Science Fiction,"$425,000,000 ","3,452","3,461","45,631","$77,025,481 ","$760,507,625 ","$885,423,811 ","$2,015,837,654 ","$2,776,345,279 "
2,15-Jul-09,2009,Harry Potter and the Half-Blood Prince,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$250,000,000 ","4,325","4,455","27,206","$77,835,727 ","$301,959,197 ","$361,143,197 ","$633,124,489 ","$935,083,686 "
3,1-Jul-09,2009,Ice Age: Dawn of the Dinosaurs,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$90,000,000 ","4,099","4,102","24,140","$41,690,382 ","$196,573,705 ","$235,102,148 ","$663,128,152 ","$859,701,857 "
4,24-Jun-09,2009,Transformers: Revenge of the Fallen,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,"$210,000,000 ","4,234","4,293","28,686","$108,966,307 ","$402,111,870 ","$480,925,797 ","$434,407,829 ","$836,519,699 "
5,13-Nov-09,2009,2012,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$200,000,000 ","3,404","3,444","22,025","$65,237,614 ","$166,112,167 ","$198,512,307 ","$622,296,372 ","$788,408,539 "
6,29-May-09,2009,Up,Walt Disney,Adventure,Original Screenplay,Digital Animation,Fantasy,"$175,000,000 ","3,766","3,886","30,276","$68,108,790 ","$293,004,164 ","$350,432,981 ","$438,459,213 ","$731,463,377 "
7,20-Nov-09,2009,The Twilight Saga: New Moon,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$50,000,000 ","4,024","4,124","26,722","$142,839,137 ","$296,623,634 ","$354,249,375 ","$390,934,093 ","$687,557,727 "
8,25-Dec-09,2009,Sherlock Holmes,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$90,000,000 ","3,626","3,626","24,653","$62,304,277 ","$209,028,679 ","$245,841,535 ","$289,409,533 ","$498,438,212 "
9,15-May-09,2009,Angels & Demons,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$150,000,000 ","3,527","3,527","20,295","$46,204,168 ","$133,375,846 ","$159,517,511 ","$357,500,000 ","$490,875,846 "
10,5-Jun-09,2009,The Hangover,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,269","3,545","35,788","$44,979,319 ","$277,322,503 ","$331,677,716 ","$188,441,583 ","$465,764,086 "
11,23-Dec-09,2009,Alvin and the Chipmunks: The Squeakquel,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$70,000,000 ","3,700","3,747","26,834","$48,875,415 ","$219,614,612 ","$258,893,405 ","$223,868,601 ","$443,483,213 "
