Index,Date,Released,Year,Released,Title,Theatrical,Genre,Source,Production,Creative,Production,Opening Weekend,Maximum,Theatrical,Opening Weekend,Domestic,Infl. Adj. Dom.,International,Worldwide,Profit
82,3-Jan-14,3-Jan-14,2014,2014,Paranormal Activity: The Marked Ones,Paramount Pictures,Horror,Spin-Off,Live Action,Fantasy,"$5,000,000 ","2,867","2,883","8,161","$18,343,611 ",32.46,"$35,740,140 ","$54,788,743 ","$87,251,115 ","$27,462,372 "
74,11-Sep-15,10-Sep-15,2015,2015,The Visit,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","3,069","3,148","15,855","$25,427,560 ",65.21,"$69,383,013 ","$33,483,191 ","$98,689,296 ","$60,206,105 "
61,22-Jul-16,21-Jul-16,2016,2016,Lights Out,Warner Bros.,Horror,Short Film,Live Action,Fantasy,"$5,000,000 ","2,818","2,835","12,695","$21,688,103 ",67.27,"$69,757,394 ","$81,600,000 ","$148,868,835 ","$62,268,835 "
79,11-Mar-16,4-Jan-16,2016,2016,10 Cloverfield Lane,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","3,391","3,427","16,734","$24,727,437 ",72.08,"$74,749,647 ","$36,203,423 ","$108,286,422 ","$67,082,999 "
37,20-Jan-17,18-Jan-17,2017,2017,Split,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","3,038","3,373","20,502","$40,010,975 ",138.14,"$138,141,585 ","$140,164,642 ","$278,306,227 ","$133,141,585 "
41,24-Feb-17,24-Feb-17,2017,2017,Get Out,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","2,781","3,143","24,136","$33,377,060 ",176.04,"$176,040,665 ","$79,323,036 ","$255,363,701 ","$171,040,665 "
69,13-Oct-17,11-Oct-17,2017,2017,Happy Death Day,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$5,000,000 ","3,149","3,535","14,476","$26,039,025 ",55.68,"$55,683,845 ","$69,329,155 ","$125,013,000 ","$50,683,845 "
79,7-Sep-12,7-Sep-12,2012,2012,The Inbetweeners,Wrekin Hill Entertainment,Comedy,TV,Live Action,Contemporary Fiction,"$5,700,000 ",10,10,10,"$35,955 ",0.04,"$40,509 ","$86,015,365 ","$86,051,320 ","($5,664,045)"
97,17-Dec-08,17-Dec-08,2008,2008,The Wrestler,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000 ",4,776,"6,737","$202,714 ",26.24,"$31,451,520 ","$20,396,032 ","$46,634,275 ","$20,238,243 "
93,11-May-18,9-May-18,2018,2018,Breaking In,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$6,000,000 ","2,537","2,537","10,860","$17,630,285 ",46.38,"$46,383,120 ","$4,548,390 ","$50,931,510 ","$40,383,120 "
77,1-Feb-08,1-Feb-08,2008,2008,Hannah Montana/Miley Cyrus: Best of B…,Walt Disney,Concert/Performance,Real Life Event,Live Action,Factual,"$6,500,000 ",683,687,"3,614","$31,117,834 ",65.28,"$81,556,765 ","$5,430,318 ","$70,712,099 ","$58,781,781 "
32,3-Oct-14,3-Oct-14,2014,2014,Annabelle,Warner Bros.,Horror,Spin-Off,Live Action,Fantasy,"$6,500,000 ","3,185","3,215","15,066","$37,134,255 ",84.27,"$92,525,837 ","$172,589,107 ","$256,862,920 ","$77,773,813 "
88,14-Feb-08,14-Feb-08,2008,2008,"Definitely, Maybe",Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000 ","2,204","2,220","9,625","$9,764,270 ",32.24,"$40,279,606 ","$23,376,217 ","$55,617,866 ","$25,241,649 "
42,29-Jun-12,28-Jun-12,2012,2012,Magic Mike,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000 ","2,930","3,120","16,723","$39,127,170 ",113.72,"$128,151,062 ","$56,828,182 ","$170,549,753 ","$106,721,571 "
63,16-Mar-18,16-Mar-18,2018,2018,I Can Only Imagine,Roadside Attractions,Drama,Song,Live Action,Dramatization,"$7,000,000 ","1,627","2,894","16,927","$17,108,914 ",83.48,"$83,482,352 ","$1,946,951 ","$85,429,303 ","$76,482,352 "
95,21-Mar-08,21-Mar-08,2008,2008,Shutter,20th Century Fox,Horror,Remake,Live Action,Contemporary Fiction,"$8,000,000 ","2,753","2,756","10,090","$10,447,559 ",25.93,"$32,392,634 ","$21,853,876 ","$47,782,426 ","$17,928,550 "
78,17-Sep-10,17-Sep-10,2010,2010,Easy A,Sony Pictures,Comedy,Fiction Book,Live Action,Contemporary Fiction,"$8,000,000 ","2,856","2,974","18,355","$17,734,040 ",58.4,"$66,395,581 ","$17,799,257 ","$76,200,721 ","$50,401,464 "
95,27-Jun-14,27-Jun-14,2014,2014,Begin Again,Weinstein Co.,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$8,000,000 ",5,"1,302","5,726","$134,064 ",16.17,"$17,754,043 ","$52,668,104 ","$68,838,736 ","$8,170,632 "
79,15-Aug-08,15-Aug-08,2008,2008,Star Wars: The Clone Wars,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Science Fiction,"$8,500,000 ","3,452","3,452","14,057","$14,611,273 ",35.16,"$43,927,453 ","$33,533,889 ","$68,695,443 ","$26,661,554 "
95,18-Nov-16,17-Nov-16,2016,2016,Manchester by the Sea,Roadside Attractions,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$8,500,000 ",4,"1,213","10,502","$256,498 ",47.7,"$48,748,613 ","$30,038,496 ","$77,733,867 ","$39,195,371 "
68,30-May-08,30-May-08,2008,2008,The Strangers,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$9,000,000 ","2,467","2,477","10,298","$20,997,985 ",52.6,"$65,710,381 ","$30,454,066 ","$83,051,676 ","$43,597,610 "
65,18-Jul-14,16-Jul-14,2014,2014,The Purge: Anarchy,Universal,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$9,000,000 ","2,806","2,856","11,344","$29,816,675 ",71.56,"$78,569,898 ","$39,972,331 ","$111,534,881 ","$62,562,550 "
93,21-Oct-16,20-Oct-16,2016,2016,Ouija: Origin of Evil,Universal,Horror,Game,Live Action,Fantasy,"$9,000,000 ","3,167","3,168","10,634","$14,065,500 ",35.14,"$36,444,644 ","$46,687,361 ","$81,831,866 ","$26,144,505 "
84,6-Nov-09,6-Nov-09,2009,2009,Precious (Based on the Novel Push by …,Lionsgate,Drama,Fiction Book,Live Action,Historical Fiction,"$10,000,000 ",18,"1,003","7,923","$1,872,458 ",47.57,"$56,664,531 ","$21,156,324 ","$68,722,848 ","$37,566,524 "
99,6-Nov-09,6-Nov-09,2009,2009,The Fourth Kind,Universal,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,"$10,000,000 ","2,527","2,530","7,991","$12,231,160 ",26.22,"$31,356,931 ","$23,268,704 ","$49,486,874 ","$16,218,170 "
82,12-Nov-10,12-Nov-10,2010,2010,Skyline,Universal,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$10,000,000 ","2,880","2,883","7,930","$11,692,415 ",21.42,"$24,347,872 ","$46,848,618 ","$68,264,973 ","$11,416,355 "
89,17-Sep-10,17-Sep-10,2010,2010,Devil,Universal,Horror,Original Screenplay,Live Action,Fantasy,"$10,000,000 ","2,809","2,811","12,026","$12,289,375 ",33.68,"$38,289,799 ","$29,674,459 ","$63,354,114 ","$23,679,655 "
55,4-May-12,24-Feb-12,2012,2012,The Best Exotic Marigold Hotel,Fox Searchlight,Comedy,Fiction Book,Live Action,Contemporary Fiction,"$10,000,000 ",27,"1,298","9,177","$737,051 ",46.38,"$52,268,997 ","$88,256,141 ","$134,639,780 ","$36,383,639 "
96,30-Aug-13,30-Aug-13,2013,2013,One Direction: This is Us,Sony Pictures,Concert/Performance,Real Life Event,Live Action,Factual,"$10,000,000 ","2,735","2,735","9,764","$15,815,497 ",28.87,"$31,856,596 ","$39,668,412 ","$68,541,786 ","$18,873,374 "
61,5-Jun-15,4-Jun-15,2015,2015,Insidious Chapter 3,Focus Features,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","3,002","3,014","11,369","$22,692,741 ",52.22,"$55,563,517 ","$68,459,886 ","$120,678,444 ","$42,218,558 "
81,6-Mar-15,26-Feb-15,2015,2015,The Second Best Exotic Marigold Hotel,Fox Searchlight,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","1,573","2,022","10,142","$8,540,370 ",33.08,"$35,197,159 ","$57,306,040 ","$90,384,306 ","$23,078,266 "
90,23-Oct-15,21-Oct-15,2015,2015,Paranormal Activity: The Ghost Dimension,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","1,656","1,656","5,419","$8,070,493 ",18.3,"$19,469,179 ","$59,799,429 ","$78,096,553 ","$8,297,124 "
57,26-Aug-16,25-Aug-16,2016,2016,Don’t Breathe,Sony Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","3,051","3,384","19,498","$26,411,706 ",89.22,"$92,518,419 ","$69,829,774 ","$159,047,649 ","$79,217,875 "
73,1-Jul-16,1-Jul-16,2016,2016,The Purge: Election Year,Universal,Horror,Original Screenplay,Live Action,Science Fiction,"$10,000,000 ","2,796","2,821","10,822","$31,515,110 ",79.04,"$81,966,550 ","$39,514,684 ","$118,557,124 ","$69,042,440 "
76,27-Oct-17,27-Oct-17,2017,2017,Jigsaw,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","2,941","2,941","10,856","$16,640,452 ",38.05,"$38,052,832 ","$64,446,750 ","$102,499,582 ","$28,052,832 "
93,3-Nov-17,3-Nov-17,2017,2017,Lady Bird,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ",4,"1,557","12,410","$364,437 ",48.96,"$48,958,273 ","$29,652,496 ","$78,610,769 ","$38,958,273 "
51,19-Oct-18,19-Oct-18,2018,2018,Halloween,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","3,928","3,928","3,928","$76,221,545 ",80.87,"$80,865,755 ","$14,217,396 ","$95,083,151 ","$70,865,755 "
57,18-May-18,18-May-18,2018,2018,Book Club,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","2,781","3,169","15,924","$13,582,231 ",68.57,"$68,566,296 ","$21,096,705 ","$89,663,001 ","$58,566,296 "
77,8-Jun-18,1-Jun-18,2018,2018,Hereditary,A24,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","2,964","2,998","10,946","$13,575,173 ",44.07,"$44,069,456 ","$26,021,323 ","$70,090,779 ","$34,069,456 "
80,16-Mar-18,16-Mar-18,2018,2018,"Love, Simon",20th Century Fox,Drama,Fiction Book,Live Action,Contemporary Fiction,"$10,000,000 ","2,402","2,434","10,189","$11,756,244 ",40.83,"$40,826,341 ","$24,695,344 ","$65,521,685 ","$30,826,341 "
91,27-Jul-18,27-Jul-18,2018,2018,Teen Titans Go! To The Movies,Warner Bros.,Adventure,TV,Digital Animation,Kids Fiction,"$10,000,000 ","3,188","3,188","10,071","$10,411,189 ",29.56,"$29,562,341 ","$21,849,259 ","$51,411,600 ","$19,562,341 "
52,24-Oct-08,24-Oct-08,2008,2008,Saw V,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$10,800,000 ","3,060","3,084","11,961","$30,053,954 ",56.75,"$70,893,947 ","$61,463,009 ","$118,209,778 ","$45,946,769 "
15,25-May-12,25-May-12,2012,2012,Les Intouchables,Weinstein Co.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$10,800,000 ",4,194,"2,857","$101,053 ",13.18,"$14,854,401 ","$471,690,764 ","$484,873,045 ","$2,382,281 "
20,24-Oct-08,24-Oct-08,2008,2008,High School Musical 3: Senior Year,Walt Disney,Musical,TV,Live Action,Contemporary Fiction,"$11,000,000 ","3,623","3,626","19,839","$42,030,184 ",90.56,"$113,118,338 ","$183,833,464 ","$274,392,880 ","$79,559,416 "
81,23-Oct-09,23-Oct-09,2009,2009,Saw VI,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$11,000,000 ","3,036","3,036","9,118","$14,118,444 ",27.69,"$33,121,178 ","$42,059,110 ","$69,752,402 ","$16,693,292 "
55,10-Dec-10,10-Dec-10,2010,2010,The Fighter,Paramount Pictures,Drama,Real Life Event,Live Action,Dramatization,"$11,000,000 ",4,"2,534","22,354","$300,010 ",93.62,"$106,160,668 ","$35,645,379 ","$129,262,388 ","$82,617,009 "
85,22-Aug-14,22-Aug-14,2014,2014,If I Stay,Warner Bros.,Drama,Fiction Book,Live Action,Contemporary Fiction,"$11,000,000 ","2,907","3,157","17,086","$15,679,190 ",50.47,"$55,417,297 ","$27,881,327 ","$78,356,170 ","$39,474,843 "
85,8-May-15,17-Dec-14,2015,2014,La famille Bélier,Entertainment One,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$11,000,000 ",0,0,0,$0 ,0,$0 ,"$82,438,670 ","$82,438,670 ","($11,000,000)"
80,22-Jan-16,21-Jan-16,2016,2016,Dirty Grandpa,Lionsgate,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$11,500,000 ","2,912","2,912","11,527","$11,111,875 ",35.59,"$36,909,846 ","$69,648,297 ","$105,241,410 ","$24,093,113 "
85,1-Feb-08,1-Feb-08,2008,2008,The Eye,Lionsgate,Thriller/Suspense,Remake,Live Action,Fantasy,"$12,000,000 ","2,436","2,470","9,922","$12,425,776 ",31.42,"$39,251,491 ","$26,159,068 ","$57,577,765 ","$19,418,697 "
60,3-Feb-12,2-Feb-12,2012,2012,Chronicle,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$12,000,000 ","2,907","2,908","13,597","$22,004,098 ",64.58,"$72,768,757 ","$59,106,615 ","$123,681,790 ","$52,575,175 "
65,20-Apr-12,20-Apr-12,2012,2012,Think Like a Man,Sony Pictures,Romantic Comedy,Factual Book,Live Action,Contemporary Fiction,"$12,000,000 ","2,015","2,052","12,145","$33,636,303 ",91.55,"$103,163,118 ","$21,826,559 ","$113,373,764 ","$79,547,205 "
68,2-Mar-12,2-Mar-12,2012,2012,Project X,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$12,000,000 ","3,055","3,055","13,146","$21,051,363 ",54.73,"$61,676,482 ","$48,296,323 ","$103,028,188 ","$42,731,865 "
84,24-Feb-12,24-Feb-12,2012,2012,Act of Valor,Relativity,Action,Original Screenplay,Live Action,Contemporary Fiction,"$12,000,000 ","3,039","3,053","17,305","$24,476,632 ",70.01,"$78,896,380 ","$12,484,188 ","$82,497,035 ","$58,012,847 "
70,22-Nov-13,1-Nov-13,2013,2013,Philomena,Weinstein Co.,Drama,Factual Book,Live Action,Contemporary Fiction,"$12,000,000 ",4,"1,225","12,674","$128,435 ",37.71,"$41,508,307 ","$61,253,413 ","$98,963,392 ","$25,709,979 "
79,1-Nov-13,4-Sep-13,2013,2013,About Time,Universal,Romantic Comedy,Original Screenplay,Live Action,Science Fiction,"$12,000,000 ",175,"1,280","4,539","$1,076,250 ",15.32,"$16,907,203 ","$73,985,257 ","$89,309,178 ","$3,323,921 "
27,6-Jun-14,4-Jun-14,2014,2014,The Fault in Our Stars,20th Century Fox,Drama,Fiction Book,Live Action,Contemporary Fiction,"$12,000,000 ","3,173","3,340","17,775","$48,002,523 ",124.87,"$137,099,749 ","$182,294,484 ","$307,166,834 ","$112,872,350 "
73,16-Apr-14,16-Apr-14,2014,2014,Heaven is for Real,Sony Pictures,Drama,Factual Book,Live Action,Dramatization,"$12,000,000 ","2,417","3,048","18,618","$22,522,221 ",91.39,"$100,334,545 ","$9,530,202 ","$100,916,299 ","$79,386,097 "
83,24-Jul-15,9-Jul-15,2015,2015,Paper Towns,20th Century Fox,Drama,Fiction Book,Live Action,Contemporary Fiction,"$12,000,000 ","3,031","3,031","9,241","$12,650,140 ",32,"$34,050,147 ","$53,511,996 ","$85,512,300 ","$20,000,304 "
60,25-Nov-16,25-Nov-16,2016,2016,Lion,Weinstein Co.,Drama,Factual Book,Live Action,Dramatization,"$12,000,000 ",4,"1,802","13,311","$123,360 ",51.74,"$51,935,699 ","$98,052,853 ","$149,792,348 ","$39,739,495 "
59,10-Nov-17,10-Nov-17,2017,2017,"Three Billboards Outside Ebbing, Miss…",Fox Searchlight,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$12,000,000 ",4,"1,726","15,397","$322,168 ",54.51,"$54,513,740 ","$98,952,413 ","$153,466,153 ","$42,513,740 "
64,4-May-18,4-May-18,2018,2018,Overboard,Lionsgate,Romantic Comedy,Remake,Live Action,Contemporary Fiction,"$12,000,000 ","1,623","2,006","10,028","$14,711,101 ",50.32,"$50,316,123 ","$35,054,056 ","$85,370,179 ","$38,316,123 "
93,15-Mar-13,14-Mar-13,2013,2013,The Call,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$12,800,000 ","2,507","2,507","13,520","$17,118,745 ",51.87,"$57,231,883 ","$17,949,098 ","$69,821,476 ","$39,072,378 "
53,29-May-09,29-May-09,2009,2009,Män som hatar kvinnor,Alliance Films,Thriller/Suspense,Fiction Book,Live Action,Contemporary Fiction,"$13,000,000 ",0,224,"3,052",$0 ,12.75,"$14,624,491 ","$96,671,919 ","$109,421,911 ","($250,008)"
16,3-Dec-10,3-Dec-10,2010,2010,Black Swan,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000 ",18,"2,407","18,797","$1,443,809 ",106.95,"$121,255,680 ","$224,312,032 ","$331,266,710 ","$93,954,678 "
69,11-Feb-11,11-Feb-11,2011,2011,Justin Bieber: Never Say Never,Paramount Pictures,Concert/Performance,Real Life Event,Live Action,Factual,"$13,000,000 ","3,105","3,118","13,852","$29,514,054 ",73.01,"$82,589,508 ","$26,020,215 ","$99,034,125 ","$60,013,910 "
72,24-Jun-16,23-Jun-16,2016,2016,The Shallows,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000 ","2,962","2,962","11,298","$16,800,868 ",55.12,"$57,160,796 ","$63,685,022 ","$118,806,645 ","$42,121,623 "
100,16-Mar-16,16-Mar-16,2016,2016,Miracles from Heaven,Sony Pictures,Drama,Factual Book,Live Action,Dramatization,"$13,000,000 ","3,047","3,155","17,594","$14,812,393 ",61.71,"$63,987,854 ","$12,093,597 ","$73,798,720 ","$48,705,123 "
41,4-Jul-18,4-Jul-18,2018,2018,The First Purge,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000 ","3,031","3,038","11,221","$17,374,280 ",69.09,"$69,086,325 ","$67,025,820 ","$136,112,145 ","$56,086,325 "
14,12-Nov-08,12-Nov-08,2008,2008,Slumdog Millionaire,Fox Searchlight,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$14,000,000 ",10,"2,943","27,189","$360,018 ",141.33,"$170,560,083 ","$243,199,737 ","$384,530,440 ","$127,330,703 "
57,16-Jan-09,16-Jan-09,2009,2009,My Bloody Valentine,Lionsgate,Horror,Remake,Live Action,Contemporary Fiction,"$14,000,000 ","2,534","2,534","8,202","$21,241,456 ",51.55,"$61,648,953 ","$51,290,050 ","$102,836,002 ","$37,545,952 "
64,13-Jan-12,13-Jan-12,2012,2012,The Iron Lady,Weinstein Co.,Drama,Real Life Event,Live Action,Dramatization,"$14,000,000 ",4,"1,244","8,302","$220,409 ",29.96,"$33,760,820 ","$85,632,668 ","$115,592,104 ","$15,959,436 "
82,31-Aug-12,31-Aug-12,2012,2012,The Possession,Lionsgate,Horror,Original Screenplay,Live Action,Fantasy,"$14,000,000 ","2,816","2,860","14,488","$17,732,480 ",49.13,"$55,364,490 ","$33,794,476 ","$82,925,064 ","$35,130,588 "
58,1-Jul-15,1-Jul-15,2015,2015,Magic Mike XXL,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$14,500,000 ","3,355","3,355","12,264","$12,857,184 ",66.01,"$70,241,648 ","$57,696,403 ","$123,709,460 ","$51,513,057 "
98,26-Jun-09,26-Jun-09,2009,2009,The Hurt Locker,Summit Entertainment,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000 ",4,535,"3,789","$145,352 ",17.02,"$20,096,325 ","$32,876,412 ","$49,894,223 ","$2,017,811 "
12,26-Nov-10,26-Nov-10,2010,2010,The King’s Speech,Weinstein Co.,Drama,Original Screenplay,Live Action,Dramatization,"$15,000,000 ",4,"2,584","26,313","$355,450 ",138.8,"$157,131,894 ","$292,023,719 ","$430,821,168 ","$123,797,449 "
77,19-Mar-10,19-Mar-10,2010,2010,Diary of a Wimpy Kid,20th Century Fox,Adventure,Fiction Book,Live Action,Contemporary Fiction,"$15,000,000 ","3,077","3,083","19,018","$22,126,166 ",64,"$72,764,577 ","$12,950,686 ","$76,954,311 ","$49,003,625 "
83,16-Sep-11,16-Sep-11,2011,2011,Drive,FilmDistrict,Action,Fiction Book,Live Action,Contemporary Fiction,"$15,000,000 ","2,886","2,904","11,111","$11,340,461 ",35.06,"$39,657,832 ","$46,297,241 ","$81,357,930 ","$20,060,689 "
59,3-Feb-12,3-Feb-12,2012,2012,The Woman in Black,CBS Films,Thriller/Suspense,Fiction Book,Live Action,Fantasy,"$15,000,000 ","2,855","2,856","12,340","$20,874,072 ",54.33,"$61,227,336 ","$74,622,608 ","$128,955,898 ","$39,333,290 "
50,25-Oct-13,23-Oct-13,2013,2013,Jackass Presents: Bad Grandpa,Paramount Pictures,Comedy,Real Life Event,Live Action,Factual,"$15,000,000 ","3,336","3,345","20,225","$32,055,177 ",102,"$112,540,024 ","$58,900,000 ","$160,903,019 ","$87,003,019 "
54,18-Jan-13,17-Jan-13,2013,2013,Mama,Universal,Horror,Short Film,Live Action,Fantasy,"$15,000,000 ","2,647","2,781","14,716","$28,402,310 ",71.63,"$79,028,875 ","$76,467,386 ","$148,095,566 ","$56,628,180 "
35,28-Nov-14,14-Nov-14,2014,2014,The Imitation Game,Weinstein Co.,Drama,Factual Book,Live Action,Dramatization,"$15,000,000 ",4,"2,402","17,717","$479,352 ",91.13,"$97,994,182 ","$136,648,543 ","$227,773,686 ","$76,125,143 "
60,7-Nov-14,7-Nov-14,2014,2014,The Theory of Everything,Focus Features,Drama,Factual Book,Live Action,Dramatization,"$15,000,000 ",5,"1,220","10,903","$208,763 ",35.89,"$39,031,610 ","$87,434,155 ","$123,327,692 ","$20,893,537 "
34,11-Aug-17,2-Aug-17,2017,2017,Annabelle: Creation,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$15,000,000 ","3,502","3,565","20,808","$35,006,404 ",102.09,"$102,092,201 ","$203,293,687 ","$305,385,888 ","$87,092,201 "
24,25-Jul-08,25-Jul-08,2008,2008,Bienvenue chez les Ch'tis,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ",0,46,226,$0 ,1.48,"$1,846,026 ","$245,996,847 ","$247,474,497 ","($14,522,350)"
60,15-Aug-08,15-Aug-08,2008,2008,Vicky Cristina Barcelona,MGM,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ",692,726,"5,857","$3,755,575 ",23.22,"$28,984,133 ","$81,288,108 ","$104,504,817 ","$7,216,709 "
